INCIDENT_DATE,INCIDENT_TIME,UOF_NUMBER,OFFICER_ID,OFFICER_GENDER,OFFICER_RACE,OFFICER_HIRE_DATE,OFFICER_YEARS_ON_FORCE,OFFICER_INJURY,OFFICER_INJURY_TYPE,OFFICER_HOSPITALIZATION,SUBJECT_ID,SUBJECT_RACE,SUBJECT_GENDER,SUBJECT_INJURY,SUBJECT_INJURY_TYPE,SUBJECT_WAS_ARRESTED,SUBJECT_DESCRIPTION,SUBJECT_OFFENSE,REPORTING_AREA,BEAT,SECTOR,DIVISION,LOCATION_DISTRICT,STREET_NUMBER,STREET_NAME,STREET_DIRECTION,STREET_TYPE,LOCATION_FULL_STREET_ADDRESS_OR_INTERSECTION,LOCATION_CITY,LOCATION_STATE,LOCATION_LATITUDE,LOCATION_LONGITUDE,INCIDENT_REASON,REASON_FOR_FORCE,TYPE_OF_FORCE_USED1,TYPE_OF_FORCE_USED2,TYPE_OF_FORCE_USED3,TYPE_OF_FORCE_USED4,TYPE_OF_FORCE_USED5,TYPE_OF_FORCE_USED6,TYPE_OF_FORCE_USED7,TYPE_OF_FORCE_USED8,TYPE_OF_FORCE_USED9,TYPE_OF_FORCE_USED10,NUMBER_EC_CYCLES,FORCE_EFFECTIVE
8/28/16,6:52:00 PM,36520,10979,Male,White,1/28/15,2,No,No injuries noted or visible,No,0,Hispanic,Female,No,No injuries noted or visible,Yes,Unknown,No Arrest,4246,722,720,SOUTH CENTRAL,D4,3219,Harlandale,NULL,Ave.,3219 HARLANDALE AVE,Dallas,TX,32.707157,-96.806822,Service Call,Danger to self or others,Weapon display at Person,,,,,,,,,,NULL, Yes
10/23/16,12:10:00 PM,37622,6053,Male,Black,5/24/89,27,No,No injuries noted or visible,No,47104,Black,Female,No,No injuries noted or visible,Yes,Alchohol,Public Intoxication,4336,735,730,SOUTH CENTRAL,D3,5250,Singing Hills,NULL,Dr.,5250 SINGING HILLS DR,Dallas,TX,32.681447,-96.802428,Arrest,Arrest,Hand Controlled Escort,,,,,,,,,,NULL, Yes
11/19/16,12:38:00 PM," 38087, 38088, 38089, 38090",10226,Male,White,8/18/10,6,Yes,Abrasion/Scrape,No,24693,Black,Male,Yes,"Laceration/Cut, OC Spray Treatment, Puncture, Treated by DFD",Yes,Unknown Drugs,"Public Intoxication, Evading Arrest, Resisting Arrest, Drug Possession - Misdemeanor, Drug Possession - Felony",1042,257,250,NORTHEAST,D10,9300,Skillman,NULL,St.,9300 SKILLMAN ST,Dallas,TX,32.903578,-96.713576,Arrest,Detention/Frisk,Held Suspect Down,Verbal Command,OC Spray,Taser,,,,,,,1," No, No, No, Yes"
8/17/16,5:44:00 PM," 36189, 36190",10598,Male,White,6/19/13,3,No,No injuries noted or visible,No,0,Black,Male,No,No injuries noted or visible,No,None detected,No Arrest,6037,252,250,NORTHEAST,D10,9302,Forest,NULL,Ln.,9302 FOREST LN,Dallas,TX,32.909051,-96.739763,Service Call,Weapon Display,Weapon display at Person,Verbal Command,,,,,,,,,NULL," Yes, Yes"
11/29/16,7:30:00 PM," 38355, 38356, 38357",9922,Male,Hispanic,8/19/09,7,No,No injuries noted or visible,No,47593,White,Male,Yes,Injury Not Related to Force,Yes,Alchohol,Assault/FV,2203,337,330,SOUTHEAST,D5,1180,Prairie Creek,N,Rd.,1180 N PRAIRIE CREEK RD,Dallas,TX,32.732586,-96.665582,Service Call,Other,Verbal Command,BD - Pushed,Held Suspect Down,,,,,,,,NULL," No, No, Yes"
10/16/16,9:09:00 AM,37469,8958,Male,Asian,11/1/06,10,No,No injuries noted or visible,No,46994,Black,Male,No,No injuries noted or visible,Yes,None detected,Other Felony Arrest,4403,614,610,NORTH CENTRAL,D12,4800,Pear Ridge,NULL,Dr.,4800 PEAR RIDGE DR,Dallas,TX,33.005896,-96.824811,Service Call,Assault to Other Person,Weapon display at Person,,,,,,,,,,NULL, Yes
12/12/16,4:02:00 PM," 38598, 38599, 38600",11092,Male,Hispanic,9/23/15,1,No,No injuries noted or visible,No,47765,Black,Male,No,No injuries noted or visible,Yes,None detected,"Unauthorize Use Vehicle, Evading Arrest",4228,717,710,SOUTH CENTRAL,D4,3900,Overton,E,Rd.,3900 E OVERTON RD,Dallas,TX,32.724013,-96.764428,Traffic Stop,Arrest,Verbal Command,BD - Pushed,Take Down - Body,,,,,,,,NULL," No, Yes, Yes"
12/7/16,4:30:00 PM," 38489, 38490, 38491, 38492, 38493",10724,Male,White,1/29/14,3,No,No injuries noted or visible,No,47693,Black,Male,No,No injuries noted or visible,Yes,None detected,"Other Misdemeanor Arrest, Resisting Arrest",2074,134,130,CENTRAL,D2,500,Park,NULL,Ave.,500 PARK AVE,Dallas,TX,32.778049,-96.793555,Arrest,Arrest,Verbal Command,Joint Locks,Take Down - Arm,Joint Locks,Joint Locks,,,,,,NULL," No, No, Yes, Yes, Yes"
12/27/16,1:59:00 PM," 38910, 38911, 38912",8728,Male,Black,9/23/05,11,No,No injuries noted or visible,No,47934,White,Male,Yes,"Injured prior to contact, Abrasion/Scrape",Yes,Mentally unstable,"Assault/FV, Evading Arrest, Resisting Arrest",1132,228,220,NORTHEAST,D9,11233,Woodmeadow,NULL,Pkwy.,11233 WOODMEADOW PKWY,Dallas,TX,32.85212,-96.647173,Service Call,Arrest,Take Down - Group,Leg Restraint System,BD - Grabbed,,,,,,,,NULL," Yes, Yes, Yes"
8/20/16,8:01:00 PM," 36245, 36246, 36247",10273,Male,White,9/29/10,6,No,No injuries noted or visible,No,46242,Black,Female,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,APOWW,2178,347,340,SOUTHEAST,D7,4000,Diamond,NULL,Ave.,4000 DIAMOND AVE,Dallas,TX,32.756119,-96.764928,Service Call,Arrest,Verbal Command,Take Down - Arm,BD - Tripped,,,,,,,,NULL," No, Yes, Yes"
8/24/16,1:11:00 PM," 36307, 36308, 36309",9059,Male,White,6/16/08,8,No,No injuries noted or visible,No,22985,Black,Male,Yes,Puncture,Yes,Mentally unstable,"Other Misdemeanor Arrest, Evading Arrest, Warrant/Hold, Assault",4173,715,710,SOUTH CENTRAL,D4,2006,High Hill,NULL,Blvd.,2006 HIGH HILL BLVD,Dallas,TX,32.735162,-96.79704,Service Call,Arrest,Verbal Command,Taser Display at Person,Taser,,,,,,,,1," No, No, Yes"
8/12/16,10:40:00 PM," 36113, 36114, 36115",10878,Female,White,8/13/14,2,No,No injuries noted or visible,No,46159,White,Male,No,"Taser Burn Marks, Injury Not Related to Force, Hospitalized",Yes,Alchohol,Assault/FV,1193,114,110,CENTRAL,D2,5300,COLOMBIA AVE,NULL,NULL,5300 COLUMBIA AVE,Dallas,TX,32.798539,-96.759367,Crime in Progress,Assault to Other Person,Verbal Command,Taser Display at Person,Taser,,,,,,,,1," No, No, Yes"
7/6/16,5:30:00 PM,35511,9739,Male,White,1/21/09,7,No,No injuries noted or visible,No,45768,Black,Male,No,No injuries noted or visible,Yes,Unknown Drugs,"DWI, Criminal Mischief",4383,748,740,SOUTH CENTRAL,D8,500,Wheatland,W,Rd.,500 W WHEATLAND RD,Dallas,TX,32.647456,-96.830836,Arrest,Arrest,Joint Locks,,,,,,,,,,NULL, Yes
12/23/16,2:00:00 AM,38795,10916,Male,Black,10/22/14,2,No,No injuries noted or visible,No,47872,Black,Female,No,No injuries noted or visible,Yes,Marijuana,Assault/FV,6018,235,230,NORTHEAST,D9,9440,Poppy,NULL,Dr.,9440 POPPY DR,Dallas,TX,32.835521,-96.705001,Arrest,Arrest,Held Suspect Down,,,,,,,,,,NULL, Yes
9/9/16,11:00:00 PM,36700,6968,Male,Hispanic,4/20/87,29,No,No injuries noted or visible,No,46537,White,Male,No,No injuries noted or visible,Yes,Alchohol,"Assault/FV, Resisting Arrest",1162,142,140,CENTRAL,D14,6031,Velasco,NULL,Ave.,6031 VELASCO AVE,Dallas,TX,32.820937,-96.762388,Service Call,Active Aggression,Joint Locks,,,,,,,,,,NULL, Yes
11/13/16,8:30:00 PM,38094,8892,Male,Black,8/11/06,10,No,No injuries noted or visible,No,47451,Black,Male,No,No injuries noted or visible,Yes,Alchohol,"DWI, Evading Arrest",9607,255,250,NORTHEAST,D10,12300,Audelia,NULL,Rd.,12300 AUDELIA RD,Dallas,TX,32.916606,-96.717606,Service Call,Arrest,Take Down - Body,,,,,,,,,,NULL, Yes
11/27/16,8:30:00 AM," 38295, 38296",11096,Male,White,10/21/15,1,No,No injuries noted or visible,No,47554,White,Male,No,No injuries noted or visible,Yes,Unknown,Crim Trespass/Bldg/Prop,6006,611,610,NORTH CENTRAL,D12,18121,Marsh,NULL,Ln.,18121 MARSH LN,Dallas,TX,32.995788,-96.855548,Service Call,Detention/Frisk,Held Suspect Down,Handcuffing Take Down,,,,,,,,,NULL," Yes, Yes"
10/4/16,1:16:00 AM,37239,7104,Male,Hispanic,8/12/94,22,No,No injuries noted or visible,No,30907,White,Male,No,No injuries noted or visible,Yes,Unknown,"Evading Arrest, Unauthorize Use Vehicle",6009,623,620,NORTH CENTRAL,D12,7777,McCallum,NULL,Blvd.,7777 MCCALLUM BLVD,Dallas,TX,32.987962,-96.77311,Arrest,Weapon Display,Weapon display at Person,,,,,,,,,,NULL, Yes
10/30/16,3:45:00 PM," 37835, 37836",10774,Male,White,3/12/14,3,No,No injuries noted or visible,No,23695,Black,Male,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1084,216,210,NORTHEAST,D13,5929,Melody,NULL,Ln.,5929 MELODY LN,Dallas,TX,32.869357,-96.762017,Arrest,Danger to self or others,Verbal Command,Take Down - Body,,,,,,,,,NULL," No, Yes"
8/24/16,10:00:00 PM," 36313, 36314, 36315, 36316, 36317",10724,Male,White,1/29/14,3,No,No injuries noted or visible,No,46301,Black,Male,No,No injuries noted or visible,Yes,Unknown Drugs,Warrant/Hold,2060,131,130,CENTRAL,D14,900,Pacific,NULL,Ave.,900 PACIFIC AVE,Dallas,TX,32.781088,-96.804695,Arrest,Arrest,Verbal Command,Joint Locks,Verbal Command,Verbal Command,Held Suspect Down,,,,,,NULL," No, Yes, Yes, No, Yes"
11/8/16,7:39:00 PM,37893,10774,Male,White,3/12/14,3,Yes,Abrasion/Scrape,No,47317,White,Male,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1030,252,250,NORTHEAST,D10,11900,Abrams,NULL,Rd.,11900 ABRAMS RD,Dallas,TX,32.909609,-96.73538,Service Call,Danger to self or others,Take Down - Body,,,,,,,,,,NULL, Yes
8/13/16,2:45:00 AM," 36138, 36139, 36140, 36141, 36142",10874,Male,White,8/13/14,2,No,No injuries noted or visible,No,46171,Hispanic,Male,Yes,"Laceration/Cut, Bruise",Yes,Alchohol,"Resisting Search and Transport, Other Felony Arrest",4063,424,420,SOUTHWEST,D6,111,W Commerce,NULL,St.,111 W COMMERCE ST,Dallas,TX,32.775095,-96.821913,Arrest,Detention/Frisk,Hand Controlled Escort,BD - Grabbed,Handcuffing Take Down,Leg Restraint System,Held Suspect Down,,,,,,NULL," Yes, No, Yes, Yes, Yes"
10/16/16,2:20:00 AM," 37457, 37458, 37459",10087,Male,White,1/20/10,7,No,No injuries noted or visible,No,46991,Black,Female,Yes,"Laceration/Cut, Treated by DFD",No,Alchohol,No Arrest,2014,121,120,CENTRAL,D14,2700,McKinney,NULL,Ave.,2700 MCKINNEY AVE,Dallas,TX,32.797636,-96.801391,Off-Duty Employment,Assault to Other Person,Verbal Command,Joint Locks,Joint Locks,,,,,,,,NULL," No, No, No"
6/2/16,11:50:00 AM,35138,0,Male,White,8/12/15,1,No,No injuries noted or visible,No,44942,Black,Male,No,No injuries noted or visible,Yes,Unknown,"Evading Arrest, Warrant/Hold",2075,134,130,CENTRAL,D14,2000,Commerce,NULL,St.,2000 COMMERCE ST,Dallas,TX,32.780995,-96.793979,Call for Cover,Arrest,Take Down - Body,,,,,,,,,,NULL, Yes
10/23/16,4:30:00 PM," 37641, 37642, 37643",10731,Male,White,1/29/14,3,No,No injuries noted or visible,No,47111,Black,Male,No,No injuries noted or visible,Yes,Unknown,"Warrant/Hold, Resisting Arrest, Fail to ID, Other Misdemeanor Arrest",2161,342,340,SOUTHEAST,D7,1700,MArtin Luther King Jr,NULL,Blvd.,1700 MARTIN LUTHER KING JR BLVD,Dallas,TX,32.761973,-96.776719,Arrest,Arrest,Verbal Command,Hand Controlled Escort,BD - Tripped,,,,,,,,NULL," No, No, Yes"
7/10/16,8:50:00 AM,35870,6490,Male,White,8/27/90,26,No,No injuries noted or visible,No,14267,Black,Male,No,No injuries noted or visible,No,FD-Suspect w/ Gun,No Arrest,6008,621,620,NORTH CENTRAL,D12,5716,willow wood,NULL,Ln.,5716 WILLOW WOOD LN,Dallas,TX,33.011521,-96.810008,Service Call,Weapon Display,Weapon display at Person,,,,,,,,,,NULL, No
11/24/16,9:30:00 PM," 38262, 38263",10839,Male,White,6/18/14,2,No,No injuries noted or visible,No,47538,Hispanic,Male,No,Non-Visible Injury/Pain,Yes,Alchohol,DWI,3101,541,540,NORTHWEST,D2,5200,HARRY HINES BLVD,NULL,Ave.,5200 HARRY HINES BLVD,Dallas,TX,32.811768,-96.836942,Arrest,Arrest,Verbal Command,Joint Locks,,,,,,,,,NULL," No, Yes"
10/23/16,1:30:00 PM," 37651, 37652",8763,Male,Hispanic,1/4/06,11,No,No injuries noted or visible,No,47119,Black,Female,Yes,Abrasion/Scrape,Yes,Mentally unstable,APOWW,2206,335,330,SOUTHEAST,D5,10206,Lake June,NULL,Rd.,10206 LAKE JUNE RD,Dallas,TX,32.733984,-96.647228,Call for Cover,Weapon Display,Verbal Command,Taser Display at Person,,,,,,,,,NULL," No, Yes"
12/14/16,8:40:00 PM," 38630, 38631",10766,Male,White,3/12/14,3,No,No injuries noted or visible,No,47787,Black,Female,No,Laceration/Cut,Yes,Mentally unstable,APOWW,2191,348,340,SOUTHEAST,D7,2417,Anderson,NULL,St.,2417 ANDERSON ST,Dallas,TX,32.746274,-96.755096,Arrest,Arrest,BD - Grabbed,Held Suspect Down,,,,,,,,,NULL," Yes, Yes"
9/5/16,2:35:00 AM," 36582, 36583",10612,Male,White,8/14/13,3,No,No injuries noted or visible,No,46443,Black,Male,No,No injuries noted or visible,Yes,Unknown,Warrant/Hold,2026,154,150,CENTRAL,D14,3604,San Jacinto,NULL,St.,3604 SAN JACINTO ST,Dallas,TX,32.796083,-96.786363,Arrest,Arrest,Verbal Command,Pressure Points,,,,,,,,,NULL," No, Yes"
11/26/16,7:10:00 PM," 38274, 38543",10078,Male,White,1/20/10,7,No,No injuries noted or visible,No,47540,Black,Female,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1084,216,210,NORTHEAST,D13,8700,Park,NULL,Ln.,8700 PARK LN,Dallas,TX,32.869414,-96.750432,Arrest,Arrest,Joint Locks,Held Suspect Down,,,,,,,,,NULL," Yes, Yes"
8/13/16,2:45:00 AM," 36143, 36144",10873,Male,White,8/13/14,2,No,No injuries noted or visible,No,46171,Hispanic,Male,Yes,"Laceration/Cut, Redness/Swelling, Injured prior to contact",Yes,Alchohol,"Resisting Arrest, Other Felony Arrest, Deadly Conduct, Warrant/Hold",2403,424,420,SOUTHWEST,D6,111,Commerce,NULL,St.,111 COMMERCE ST,Dallas,TX,32.775464,-96.82022,Arrest,Arrest,Joint Locks,Handcuffing Take Down,,,,,,,,,NULL," No, Yes"
10/30/16,3:45:00 PM," 37837, 37838, 37839",11031,Female,Black,6/3/15,1,No,No injuries noted or visible,No,23695,Black,Male,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1084,216,210,NORTHEAST,D13,5929,Melody,NULL,Ln.,5929 MELODY LN,Dallas,TX,32.869357,-96.762017,Arrest,Danger to self or others,Verbal Command,BD - Grabbed,Held Suspect Down,,,,,,,,NULL," No, No, Yes"
10/3/16,12:20:00 AM," 37210, 37211",10612,Male,White,8/14/13,3,No,No injuries noted or visible,No,46841,White,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Drug Possession - Felony, Resisting Search and Transport",2403,424,420,SOUTHWEST,D6,111,Commerce,NULL,St.,111 COMMERCE ST,Dallas,TX,32.775464,-96.82022,Arrest,Arrest,Verbal Command,Handcuffing Take Down,,,,,,,,,NULL," No, Yes"
8/25/16,5:55:00 PM," 36349, 36350",10876,Male,White,8/13/14,2,No,No injuries noted or visible,No,46308,Black,Male,No,No injuries noted or visible,Yes,FD-Suspect Unarmed,"Assault/FV, Fail to ID, Resisting Arrest, Other Misdemeanor Arrest, Warrant/Hold, Other Felony Arrest",4332,751,750,SOUTH CENTRAL,D4,100,Ledbetter,E,Dr.,100 E LEDBETTER DR,Dallas,TX,32.686237,-96.820907,Call for Cover,Arrest,Hand Controlled Escort,Leg Restraint System,,,,,,,,,NULL," No, Yes"
7/14/16,12:32:00 AM," 35619, 35620, 35621, 35622, 35623",10795,Male,Asian,5/7/14,2,Yes,Abrasion/Scrape,No,42502,Black,Male,No,Abrasion/Scrape,Yes,Alchohol,"Assault/Public Servant, Public Intoxication",2058,131,130,CENTRAL,D14,1714,market,N,St.,1714 N MARKET ST,Dallas,TX,32.782034,-96.806894,Arrest,Active Aggression,Leg Restraint System,Taser Display at Person,Verbal Command,Pressure Points,Hand Controlled Escort,,,,,,NULL," Yes, Yes, No, Yes, Yes"
11/5/16,11:00:00 PM," 37827, 37828, 37829",10724,Male,White,1/29/14,3,No,No injuries noted or visible,No,47285,White,Male,No,No injuries noted or visible,Yes,Unknown,Warrant/Hold,2061,133,130,CENTRAL,D14,1300,Elm,NULL,St.,1300 ELM ST,Dallas,TX,32.781061,-96.800987,Arrest,Arrest,Verbal Command,Joint Locks,Joint Locks,,,,,,,,NULL," No, Yes, Yes"
12/8/16,1:50:00 PM," 38522, 39401",9792,Female,White,3/18/09,8,Yes,No injuries noted or visible,No,47619,Black,Male,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1216,317,310,SOUTHEAST,D7,4645,samuell,NULL,Blvd.,4645 SAMUELL BLVD,Dallas,TX,32.793381,-96.715822,Service Call,Danger to self or others,Joint Locks,Verbal Command,,,,,,,,,NULL," Yes, No"
9/27/16,11:45:00 PM," 37081, 37082, 37083, 37084",10701,Male,Black,11/6/13,3,No,Bruise,No,46761,Black,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Fail to ID, Resisting Search and Transport, Warrant/Hold",2004,143,140,CENTRAL,D14,3900,CENTRAL,N,Expwy.,3900 N CENTRAL EXPY,Dallas,TX,32.80732,-96.792843,Arrest,Active Aggression,Pressure Points,BD - Grabbed,Held Suspect Down,Hand/Arm/Elbow Strike,,,,,,,NULL," Yes, Yes, Yes, Yes"
10/11/16,7:40:00 PM," 37401, 37402",5974,Male,Hispanic,3/2/89,28,No,No injuries noted or visible,No,46937,White,Male,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,2025,154,150,CENTRAL,D14,3005,Bryan,NULL,St.,3005 BRYAN ST,Dallas,TX,32.791323,-96.788554,Service Call,Active Aggression,Taser,Taser,,,,,,,,," 1, 1"," Yes, Yes"
12/27/16,2:00:00 PM,39092,6119,Male,Black,8/7/89,27,No,No injuries noted or visible,No,47936,Black,Male,No,No injuries noted or visible,Yes,Marijuana,"Drug Possession - Misdemeanor, Other Felony Arrest",2009,155,150,CENTRAL,D2,2428,Haskell,N,Ave.,2428 N HASKELL AVE,Dallas,TX,32.804755,-96.7894,Other ( In Narrative),Weapon Display,Weapon display at Person,,,,,,,,,,NULL, Yes
7/31/16,9:20:00 PM," 35932, 35933, 35934",10760,Male,White,3/12/14,2,No,No injuries noted or visible,No,46016,Black,Male,No,No injuries noted or visible,Yes,Mentally unstable,"Evading Arrest, Fail to ID",2049,132,130,CENTRAL,D14,500,GRIFFIN,N,St.,500 N GRIFFIN ST,Dallas,TX,32.782631,-96.803756,Arrest,Arrest,Verbal Command,Taser Display at Person,Held Suspect Down,,,,,,,,NULL," Yes, Yes, Yes"
12/26/16,3:51:00 AM," 38874, 38875, 38876",11149,Male,White,2/24/16,1,No,No injuries noted or visible,No,27281,Hispanic,Male,Yes,"Abrasion/Scrape, Injury Not Related to Force",Yes,Marijuana,"Public Intoxication, Drug Possession - Misdemeanor",1053,244,240,NORTHEAST,D10,8041,Skillman,NULL,St.,8041 SKILLMAN ST,Dallas,TX,32.890046,-96.730178,Arrest,Arrest,Verbal Command,BD - Pushed,Handcuffing Take Down,,,,,,,,NULL," No, Yes, Yes"
9/17/16,4:39:00 AM," 36867, 36868, 36869",10782,Male,White,3/12/14,3,No,No injuries noted or visible,No,46631,Black,Male,Yes,"Abrasion/Scrape, Treated by DFD",Yes,None detected,"Evading Arrest, Resisting Arrest, Drug Possession - Felony, Warrant/Hold",1084,216,210,NORTHEAST,D13,8500,PARK,NULL,Ln.,8500 PARK LN,Dallas,TX,32.870902,-96.758366,Arrest,Arrest,Taser Display at Person,Verbal Command,Held Suspect Down,,,,,,,,NULL," No, No, Yes"
10/8/16,12:15:00 PM,37412,11082,Male,White,9/23/15,1,No,No injuries noted or visible,No,46952,Hispanic,Male,No,No injuries noted or visible,Yes,FD-Unknown if Armed,Warrant/Hold,4135,414,410,SOUTHWEST,D1,223,Ewing,S,Ave.,223 S EWING AVE,Dallas,TX,32.745915,-96.812697,Service Call,Weapon Display,Weapon display at Person,,,,,,,,,,NULL, Yes
8/7/16,1:45:00 PM,36056,8481,Male,Black,2/27/04,12,No,No injuries noted or visible,No,46097,Black,Male,No,No injuries noted or visible,No,Unknown,"Crim Trespass/Bldg/Prop, No Arrest",2088,135,130,CENTRAL,D2,1818,CORSICANA STREET,NULL,NULL,1818 CORSICANA ST,Dallas,TX,32.776076,-96.791881,Off-Duty Employment,Detention/Frisk,BD - Grabbed,,,,,,,,,,NULL, Yes
7/21/16,3:30:00 AM," 35788, 35789, 35790",10832,Male,White,6/18/14,2,No,No injuries noted or visible,No,45916,Black,Female,Yes,"Abrasion/Scrape, Non-Visible Injury/Pain",Yes,Alchohol,"Public Intoxication, Resisting Arrest",4372,747,740,SOUTH CENTRAL,D8,8020,Leigh Ann,NULL,Dr.,8020 LEIGH ANN DR,Dallas,TX,32.650251,-96.828956,Arrest,Arrest,Verbal Command,Hand Controlled Escort,BD - Tripped,,,,,,,,NULL," No, No, Yes"
9/30/16,2:00:00 PM," 37137, 37138, 37139, 37140, 37141, 37142, 37143",5672,Male,White,6/25/87,29,No,No injuries noted or visible,No,19604,White,Male,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1005,624,620,NORTH CENTRAL,D12,7229,La Bolsa,NULL,NULL,7229 LA BOLSA DR,Dallas,TX,32.964509,-96.783176,Arrest,Danger to self or others,Baton Display,BD - Grabbed,BD - Pushed,Held Suspect Down,Pressure Points,Verbal Command,Take Down - Group,,,,NULL," Yes, Yes, Yes, Yes, No, No, Yes"
8/12/16,9:45:00 PM,36124,9368,Male,Hispanic,6/18/14,2,No,No injuries noted or visible,No,46166,Hispanic,Male,Yes,Abrasion/Scrape,Yes,Alchohol,Public Intoxication,3047,526,520,NORTHWEST,D6,3700,Walnut Hill,NULL,Ln.,3700 WALNUT HILL LN,Dallas,TX,32.878703,-96.684721,Arrest,Arrest,Held Suspect Down,,,,,,,,,,NULL, Yes
11/2/16,11:35:00 AM," 37782, 37784, 37785",6066,Male,White,7/5/89,27,No,No injuries noted or visible,No,47248,White,Female,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1022,644,640,NORTH CENTRAL,D11,8550,Spring Valley,NULL,Rd.,8550 SPRING VALLEY RD,Dallas,TX,32.939948,-96.754911,Arrest,Danger to self or others,Verbal Command,BD - Grabbed,Hand Controlled Escort,,,,,,,,NULL," No, Yes, Yes"
12/1/16,5:30:00 PM," 38420, 38421, 38422, 38423",9761,Male,White,3/4/09,8,No,No injuries noted or visible,No,47619,Black,Male,No,No injuries noted or visible,Yes,Mentally unstable,APOWW,1180,224,220,NORTHEAST,D7,2970,Peavy,NULL,Rd.,2970 PEAVY RD,Dallas,TX,32.809544,-96.683599,Arrest,Danger to self or others,Verbal Command,Take Down - Arm,Held Suspect Down,Weapon display at Person,,,,,,,NULL," No, Yes, Yes, No"
10/16/16,8:50:00 AM," 37470, 37471",7614,Male,Black,4/1/98,19,No,No injuries noted or visible,No,46995,White,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Drug Possession - Felony, Man/Del/Dangerous Drug",2050,132,130,CENTRAL,D14,1700,Ross,NULL,Ave.,1700 ROSS AVE,Dallas,TX,32.785458,-96.800996,Arrest,Other,Verbal Command,Pressure Points,,,,,,,,,NULL," No, Yes"
9/23/16,12:01:00 AM," 37241, 37242, 37243",9903,Male,White,7/8/09,7,No,No injuries noted or visible,No,27795,Black,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,"Resisting Search and Transport, Other Misdemeanor Arrest",1142,234,230,NORTHEAST,D9,3900,abrams,NULL,Rd.,3900 ABRAMS RD,Dallas,TX,32.83376,-96.752923,Pedestrian Stop,Danger to self or others,Verbal Command,Hand Controlled Escort,Handcuffing Take Down,,,,,,,,NULL," No, No, Yes"
3/2/16,1:40:00 PM,32785,7855,Male,White,1/7/00,16,No,No injuries noted or visible,No,0,Hispanic,Female,No,No injuries noted or visible,No,None detected,No Arrest,4138,444,440,SOUTHWEST,D1,1700,12th,W,St.,1700 W 12TH ST,Dallas,TX,32.741262,-96.847884,Arrest,Active Aggression,Hand Controlled Escort,,,,,,,,,,NULL, Yes
9/16/16,11:50:00 PM," 36835, 36836",10918,Male,White,10/22/14,2,No,No injuries noted or visible,No,0,Other,Male,No,No injuries noted or visible,No,Alchohol,"Disorderly Conduct, Other Misdemeanor Arrest",1004,622,620,NORTH CENTRAL,D11,5665,ARAPAHO,NULL,Rd.,5665 ARAPAHO RD,Dallas,TX,32.961295,-96.814232,Service Call,Other,Verbal Command,Weapon display at Person,,,,,,,,,NULL," Yes, Yes"
9/16/16,5:20:00 PM," 36819, 36820",10652,Male,White,9/25/13,3,No,No injuries noted or visible,No,46613,White,Male,No,No injuries noted or visible,Yes,Unknown,Assault/FV,4523,641,640,NORTH CENTRAL,D13,12836,Noel,NULL,Rd.,12836 NOEL RD,Dallas,TX,32.922212,-96.815046,Arrest,Active Aggression,Hand/Arm/Elbow Strike,Held Suspect Down,,,,,,,,,NULL," Yes, Yes"
11/12/16,2:15:00 AM," 37948, 37949, 37950, 37951, 37952",10664,Male,White,9/25/13,3,No,No injuries noted or visible,No,47353,Black,Male,No,No injuries noted or visible,Yes,Alchohol,"Public Intoxication, Resisting Arrest",2038,122,120,CENTRAL,D14,3000,Routh,NULL,St.,3000 ROUTH ST,Dallas,TX,32.800183,-96.806101,Arrest,Arrest,Verbal Command,Hand/Arm/Elbow Strike,BD - Grabbed,Feet/Leg/Knee Strike,Held Suspect Down,,,,,,NULL," No, No, No, Yes, Yes"
9/28/16,5:30:00 PM,37110,9336,Female,Black,1/9/08,9,No,No injuries noted or visible,No,46790,White,Male,No,No injuries noted or visible,No,Mentally unstable,No Arrest,2123,151,150,CENTRAL,D2,1400,Lamar,S,St.,1400 S LAMAR ST,Dallas,TX,32.767306,-96.795013,Other ( In Narrative),Other,Verbal Command,,,,,,,,,,NULL, No
8/28/16,6:52:00 PM,36540,11015,Male,Black,5/20/15,1,No,No injuries noted or visible,No,0,Hispanic,Male,No,No injuries noted or visible,Yes,Alchohol and unknown drugs,Disorderly Conduct,4246,722,720,SOUTH CENTRAL,D4,3219,Harlandale,NULL,Ave.,3219 HARLANDALE AVE,Dallas,TX,32.707157,-96.806822,Arrest,Weapon Display,Weapon display at Person,,,,,,,,,,NULL, Yes
